title,rooms,price,type,location,link,broker,piclink,bedrooms,bathrooms,neighborhood,city,region
Unique Investment Opportunity! Ocean ...,5 Cuartos | 5 Baños,650000.0,Casa,"Urbanizacion-Ocean Park , San Juan - Condado-Miramar",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4823723,Ocean Park de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/9/16/09162024092552cfrtlo11.jpg,5,5,Urbanizacion-Ocean Park,San Juan - Condado-Miramar, metro
CANDELARIA- VENTA CASH,4 Cuartos | 2 Baños,124995.0,MultiFamiliar ,"Barrio-Candelaria , Toa Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836690,Candelaria de My House Realty,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024192547tvev223t.jpeg,4,2,Barrio-Candelaria,Toa Baja, metro
Apartamento Arroyo Beach (segundo pis...,2 Cuartos | 2 Baños,195000.0,Apartamento,"Condominio-Arroyo Beach Resort , Arroyo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4820277,Arroyo Beach Resort de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/8/26/082620240742340y0x4czz.jpeg,2,2,Condominio-Arroyo Beach Resort,Arroyo, south
PH Condo en Haudimar Frente a la play...,3 Cuartos | 3 Baños,550000.0,Apartamento ,"Barrio-Bajuras , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838467,Bajuras de Graves Realty,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/01122025075728hauubw1p.jpeg,3,3,Barrio-Bajuras,Isabela, west
LAS VISTAS CLUSTER 6  2/2.5 SPECTACUL...,2 Cuartos | 2 Baños,750000.0,Apartamento,"Condominio-Las Vistas De Rio Mar , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4786708,Las Vistas De Rio Mar de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/1/18/01182024152843ou2h0c3s.jpg,2,2,Condominio-Las Vistas De Rio Mar,Río Grande, east
Jájome Alto Cayey,,125000.0,Finca New,"Barrio-Jajome Alto , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836629,Jajome Alto de KNIGHT REALTY & PROPERTY MGMT,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024095844yuvatwlp.jpeg,0,0,Barrio-Jajome Alto,Cayey, east
TERRENO URB. REMANSO TAINO CON 821 M....,,55000.0,Solar,"Urbanizacion-Remanso Taino , Carolina",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4770352,Remanso Taino de ANFE ADORNO,https://imgcache.clasificadosonline.com//PP/FS/2023/10/10/10102023154637xzrmnx3n.JPG,0,0,Urbanizacion-Remanso Taino,Carolina, metro
Cluster 1 Rio Mar con vista al Campo ...,2 Cuartos | 2 Baños,650000.0,Apartamento ,"Condominio-Rio Mar Cluster I , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816462,Rio Mar Cluster I de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/7/26/07262024093807bpbxezbd.jpg,2,2,Condominio-Rio Mar Cluster I,Río Grande, east
2-Story Apartmento for Sale ,3 Cuartos | 2 Baños,499999.0,Apartamento,"Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838464,Harbour Lakes Palmas del Mar de Jose Juan Vazquez,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/011220250748321t5shuwe.jpg,3,2,Condominio-Harbour Lakes Palmas del Mar,Humacao - Palmas, east
BEACH FRONT LAS PICUAS ,,699000.0,Solar ,"Barrio-Las Picuas , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813846,Las Picuas de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/7/5/07052024102503h1dvl3gp.jpg,0,0,Barrio-Las Picuas,Río Grande, east
"Puesta Del Sol, beachfront x 295K",1 Cuartos | 1 Baños,295000.0,Apartamento,"Sector-Estela , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837579,Estela de Lino Feliciano Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2025/1/4/01042025095230s0hzzety.jpg,1,1,Sector-Estela,Rincón, west
Se vende en el pueblo de Camuy 787-81...,3 Cuartos | 2 Baños,166000.0,Casa Repo,"Barrio-Cocos , Quebradillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838466,Cocos de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Cocos,Quebradillas, north
"Villas del Mar Beach Resort, Loíza",3 Cuartos | 2 Baños,253000.0,Apt/WalkUp,"Condominio-Villas Del Mar Beach Resort , Loíza",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838470,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/12/01122025081226o5ol03zf.jpeg,3,2,Condominio-Villas Del Mar Beach Resort,Loíza, metro
"Calle Mc Arthur, casco urbano, Guayam...",,55000.0,Comercial ,"Sector-Pueblo , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4798932,Pueblo de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/3/30/03302024095516kbsplwum.jpeg,0,0,Sector-Pueblo,Guayama, south
Hermoso apartamento en venta frente a...,3 Cuartos | 2 Baños,550000.0,Apartamento,"Barrio-Bajuras , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838469,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/12/01122025081208ujslh4kx.jpeg,3,2,Barrio-Bajuras,Isabela, west
Finca de 26 cuerdas  en Carite Guayama,,150000.0,Finca ,"Barrio-Carite , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4790688,Carite de FullHouse RE,https://imgcache.clasificadosonline.com//PP/FS/2024/2/6/02062024094715hedla5f1.jpg,0,0,Barrio-Carite,Guayama, south
GARDEN 3 H Y 2 B  2 PARKING BAJO TECHO,3 Cuartos | 2 Baños,189000.0,Apt/WalkUp,"Condominio-Altomonte , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4808418,Altomonte de R RUIZ REAL ESTATE,https://imgcache.clasificadosonline.com//PP/FS/2024/5/27/05272024210029l0dcjj1r.jpeg,3,2,Condominio-Altomonte,San Juan - Río Piedras, metro
APARTAMENTO VISTA AL MAR RINCON OCEAN...,2 Cuartos | 2 Baños,250000.0,Apartamento ,"Condominio-Rincon Ocean Club , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4734664,Rincon Ocean Club de 20/20 Realty PR,https://imgcache.clasificadosonline.com//PP/FS/2023/4/4/04042023095353alkwjlkr.jpg,2,2,Condominio-Rincon Ocean Club,Rincón, west
Haciendas de Palmas Garden Corner Vil...,3 Cuartos | 2 Baños,368000.0,Apartamento,"Condominio-Haciendas De Palmas Del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4831028,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2024/11/5/11052024200456cck0z3sj.jpeg,3,2,Condominio-Haciendas De Palmas Del Mar,Humacao - Palmas, east
REPARTO ALEXANDRA,3 Cuartos | 3 Baños,379000.0,Casa ,"Barrio-Algarrobo , Vega Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4749876,Algarrobo de ANFE ADORNO,https://imgcache.clasificadosonline.com//PP/FS/2023/6/14/061420231709530rqqatfi.JPG,3,3,Barrio-Algarrobo,Vega Baja, north
" Renovada,casa mas apto.co broke ok",5 Cuartos | 3 Baños,200000.0,Casa,"Urbanizacion-Caparra Terrace , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833803,Caparra Terrace de Juan Then Realty,https://imgcache.clasificadosonline.com//PP/FS/2024/12/14/12142024165824it2fmcpl.jpeg,5,3,Urbanizacion-Caparra Terrace,San Juan - Río Piedras, metro
Se vende en el pueblo de Camuy 787-81...,3 Cuartos | 2 Baños,166000.0,Casa Repo,"Barrio-Pueblo , Hatillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838465,Pueblo de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Pueblo,Hatillo, north
Dame una llamada para vender tu casa!,5 Cuartos | 5 Baños,490000.0,MultiFamiliar,"Urbanizacion-Levittown , Toa Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4740041,Levittown de José Rosario Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2023/7/10/07102023213943xjz4xah1.jpeg,5,5,Urbanizacion-Levittown,Toa Baja, metro
Reparto Llanadas,,77000.0,Solar ,"Barrio-Llanadas , Barceloneta",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838463,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/12/01122025074416h4ymp0ge.jpeg,0,0,Barrio-Llanadas,Barceloneta, north
!! Urb. Paseo San Juan Calle La Garit...,5 Cuartos | 3 Baños,1650000.0,Casa,"Urbanizacion-Paseo San Juan Los Paseos , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837021,Paseo San Juan Los Paseos  de LIBERTY DOLLAR REAL ESTATE,https://imgcache.clasificadosonline.com//PP/FS/2024/12/28/12282024100350smmtej04.JPG,5,3,Urbanizacion-Paseo San Juan Los Paseos,San Juan - Río Piedras, metro
Penthouse 8th Floor Beachfront $615K,2 Cuartos | 2 Baños,615000.0,Apartamento ,"Condominio-Estela Del Mar Cond , Rincón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4833553,Estela Del Mar Cond de Lino Feliciano Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/11/25/11252024090306i5ead1bs.jpg,2,2,Condominio-Estela Del Mar Cond,Rincón, west
Bo. GUARDARRAYA frente a la Carr. #3,3 Cuartos | 2 Baños,350000.0,Casa,"Barrio-Guardarraya , Patillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838468,No Broker,https://imgcache.clasificadosonline.com//FF/FS/2025/1/12/01122025080520yzgnsni2.jpg,3,2,Barrio-Guardarraya,Patillas, south
VENTA DE SOLAR CERCA DE MONTEHIEDRA,,145000.0,Solar ,"Barrio-Caimito Alto , San Juan - Río Piedras",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4767130,Caimito Alto de J REALTY,https://imgcache.clasificadosonline.com//PP/FS/2023/9/21/09212023163107ytvrarhw.jpeg,0,0,Barrio-Caimito Alto,San Juan - Río Piedras, metro
TERRENO 4 MIL m2 CASA DE 4 Y 2 B ESTA...,3 Cuartos | 2 Baños,195000.0,Casa,"Barrio-Buena Vista , Bayamón",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4799580,Buena Vista de 1RUIZ REALTY GROUP,https://imgcache.clasificadosonline.com//PP/FS/2024/4/3/04032024220318sah4q5tn.jpeg,3,2,Barrio-Buena Vista,Bayamón, metro
2-Story Apartmento for Sale ,3 Cuartos | 2 Baños,499999.0,Apt/WalkUp ,"Condominio-Harbour Lakes Palmas del Mar , Humacao - Palmas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838368,Harbour Lakes Palmas del Mar de Jose Juan Vazquez,https://imgcache.clasificadosonline.com//PP/FS/2025/1/11/01112025080346vocpkgnf.jpg,3,2,Condominio-Harbour Lakes Palmas del Mar,Humacao - Palmas, east
CANDELARIA- VENTA CASH,4 Cuartos | 2 Baños,124995.0,MultiFamiliar,"Barrio-Candelaria , Toa Baja",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836690,Candelaria de My House Realty,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024192547tvev223t.jpeg,4,2,Barrio-Candelaria,Toa Baja, metro
Not an ocean front but it is 3.7 km 7...,3 Cuartos | 2 Baños,166000.0,Casa Repo,"Barrio-Puente , Camuy",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838462,Puente de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Puente,Camuy, north
PH Condo en Haudimar Frente a la play...,3 Cuartos | 3 Baños,550000.0,Apartamento,"Barrio-Bajuras , Isabela",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838467,Bajuras de Graves Realty,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/01122025075728hauubw1p.jpeg,3,3,Barrio-Bajuras,Isabela, west
"Bo. Camaseyes Aguadilla solar $478,500",,478500.0,Solar Repo,"Barrio-Camaseyes , Aguadilla",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838461,Camaseyes de MR VELAZQUEZ REALTY,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/01122025074038qotjvt3g.jpg,0,0,Barrio-Camaseyes,Aguadilla, west
Jájome Alto Cayey,,125000.0,Finca,"Barrio-Jajome Alto , Cayey",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4836629,Jajome Alto de KNIGHT REALTY & PROPERTY MGMT,https://imgcache.clasificadosonline.com//PP/FS/2024/12/23/12232024095844yuvatwlp.jpeg,0,0,Barrio-Jajome Alto,Cayey, east
Bella y pintoresca propiedad en el Ca...,3 Cuartos | 2 Baños,299500.0,Casa ,"Barrio-Barrancas , Barranquitas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832050,Barrancas de José Rosario Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/12/30/12302024160218pq5vfvay.jpg,3,2,Barrio-Barrancas,Barranquitas, east
Cluster 1 Rio Mar con vista al Campo ...,2 Cuartos | 2 Baños,650000.0,Apartamento,"Condominio-Rio Mar Cluster I , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4816462,Rio Mar Cluster I de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/7/26/07262024093807bpbxezbd.jpg,2,2,Condominio-Rio Mar Cluster I,Río Grande, east
!!Sabanera de Dorado!!,4 Cuartos | 4 Baños,2400000.0,Casa ,"Urbanizacion-Sabanera de Dorado , Dorado",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4837974,Sabanera de Dorado de LIBERTY DOLLAR REAL ESTATE,https://imgcache.clasificadosonline.com//PP/FS/2025/1/9/01092025113834mpouifcx.jpg,4,4,Urbanizacion-Sabanera de Dorado,Dorado, north
BEACH FRONT LAS PICUAS ,,699000.0,Solar,"Barrio-Las Picuas , Río Grande",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4813846,Las Picuas de Enjolie Hernández Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/7/5/07052024102503h1dvl3gp.jpg,0,0,Barrio-Las Picuas,Río Grande, east
"Urb. Las Veredas Camy HUD $166,000 3/2",3 Cuartos | 2 Baños,166000.0,Casa Repo,"Urbanizacion-Las Veredas , Camuy",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838460,Las Veredas de MR VELAZQUEZ REALTY,https://imgcache.clasificadosonline.com//PP/FS/2025/1/12/0112202507285943w2w0kj.JPG,3,2,Urbanizacion-Las Veredas,Camuy, north
Se vende en el pueblo de Camuy 787-81...,3 Cuartos | 2 Baños,166000.0,Casa,"Barrio-Cocos , Quebradillas",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838466,Cocos de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//media/defaultnew.png,3,2,Barrio-Cocos,Quebradillas, north
Las Veredas control d acceso 100% d f...,3 Cuartos | 2 Baños,166000.0,Casa Repo,"Urbanizacion-Las Veredas , Camuy",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4838435,Las Veredas de José Luis Delgado  Lic. 14955,https://imgcache.clasificadosonline.com//PP/FS/2025/1/11/01112025180140bym3pe5j.jpeg,3,2,Urbanizacion-Las Veredas,Camuy, north
"Calle Mc Arthur, casco urbano, Guayam...",,55000.0,Comercial,"Sector-Pueblo , Guayama",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4798932,Pueblo de Clary Gierbolini Real Estate,https://imgcache.clasificadosonline.com//PP/FS/2024/3/30/03302024095516kbsplwum.jpeg,0,0,Sector-Pueblo,Guayama, south
Hacienda Margarita con la mejor vista,4 Cuartos | 2 Baños,880000.0,Casa ,"Urbanizacion-Hacienda Margarita , Luquillo",https://www.clasificadosonline.com/UDRealEstateDetail.asp?ID=4832243,Hacienda Margarita de Full House LLC,https://imgcache.clasificadosonline.com//PP/FS/2024/11/15/11152024070236is0w4kck.jpg,4,2,Urbanizacion-Hacienda Margarita,Luquillo, east
